race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2320231129030001,toride,2023-11-29,1,×1 △3 ◎5 ○2 注4,5-1  380円(2),"5-1-3  1,100円(5)",1=3=5  470円(2),1,赤石 聡  群,馬,51,69,A3,追,3.86,69.03,2,12.8,逃,６車身,nan
2320231129030001,toride,2023-11-29,1,×1 △3 ◎5 ○2 注4,5-1  380円(2),"5-1-3  1,100円(5)",1=3=5  470円(2),2,木村 元信  青,森,44,81,A3,追,3.92,66.64,4,12.7,nan,１車身,nan
2320231129030001,toride,2023-11-29,1,×1 △3 ◎5 ○2 注4,5-1  380円(2),"5-1-3  1,100円(5)",1=3=5  470円(2),3,板羽 俊一  埼,玉,54,64,A3,追,3.86,67.58,3,12.8,nan,１/４車輪,nan
2320231129030001,toride,2023-11-29,1,×1 △3 ◎5 ○2 注4,5-1  380円(2),"5-1-3  1,100円(5)",1=3=5  470円(2),4,三谷 幸宏,北海道,57,67,A3,追,3.92,63.67,5,12.6,nan,１/４車輪,nan
2320231129030001,toride,2023-11-29,1,×1 △3 ◎5 ○2 注4,5-1  380円(2),"5-1-3  1,100円(5)",1=3=5  470円(2),5,佐藤 康恭  福,島,37,94,A3,両,3.92,69.06,1,12.2,捲,nan,nan
2320231129030002,toride,2023-11-29,2,◎3 ○5 ×1 △2 注4,3-5  220円(1),3-5-1  280円(1),1=3=5  140円(1),1,塚本 諭  福,島,47,85,A3,追,3.77,67.59,3,12.1,nan,３/４車身,nan
2320231129030002,toride,2023-11-29,2,◎3 ○5 ×1 △2 注4,3-5  220円(1),3-5-1  280円(1),1=3=5  140円(1),2,五十嵐 博一  熊,本,49,79,A3,追,3.85,67.50,4,11.9,nan,１車身１/２,nan
2320231129030002,toride,2023-11-29,2,◎3 ○5 ×1 △2 注4,3-5  220円(1),3-5-1  280円(1),1=3=5  140円(1),3,前島 恭平  長,野,35,98,A3,逃,3.92,68.25,1,12.3,逃,nan,nan
2320231129030002,toride,2023-11-29,2,◎3 ○5 ×1 △2 注4,3-5  220円(1),3-5-1  280円(1),1=3=5  140円(1),4,小酒 大司  福,島,37,94,A3,両,3.92,65.00,5,12.1,nan,３/４車身,nan
2320231129030002,toride,2023-11-29,2,◎3 ○5 ×1 △2 注4,3-5  220円(1),3-5-1  280円(1),1=3=5  140円(1),5,小林 宏年  静,岡,58,55,A3,追,3.92,68.31,2,12.2,ク,１/４車輪,nan
