race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",1,浦山 一栄  東,京,52,72,A3,両,3.93,68.37,6,13.9,nan,７車身,nan
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",2,梶原 亜湖  静,岡,54,73,A3,追,3.85,68.95,1,12.8,差,nan,nan
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",3,北野 佑汰  香,川,25,115,A3,逃,3.93,65.66,3,12.6,nan,１車身,nan
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",4,大澤 裕之  埼,玉,52,71,A3,追,3.92,72.23,2,12.8,差,１車身,nan
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",5,山口 直樹,神奈川,28,123,A3,逃,3.92,69.26,4,13.1,nan,１/２車身,nan
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",6,小原 伸哉,北海道,37,97,A3,追,3.85,63.04,7,nan,nan,大差,nan
2120241030030001,yahiko,2024-10-30,1,◎5 ○2 △6 ×1 注4 ▲7,"2-4  2,620円(11)","2-4-3  20,680円(58)",7,栗原 稔貴  栃,木,52,71,A3,追,3.85,67.06,5,13.1,nan,１車身,nan
2120241030030002,yahiko,2024-10-30,2,注2 ▲7 ◎5 ○1 ×3 △4,"7-5  7,110円(22)","7-5-1  34,000円(89)",1,田村 光昭  広,島,53,67,A3,追,3.92,66.10,3,12.9,nan,１/４車輪,nan
2120241030030002,yahiko,2024-10-30,2,注2 ▲7 ◎5 ○1 ×3 △4,"7-5  7,110円(22)","7-5-1  34,000円(89)",2,菅原 洋輔  岩,手,43,98,A3,逃,3.92,66.90,5,13.4,nan,３/４車輪,nan
2120241030030002,yahiko,2024-10-30,2,注2 ▲7 ◎5 ○1 ×3 △4,"7-5  7,110円(22)","7-5-1  34,000円(89)",3,桜井 宏樹  東,京,35,98,A3,両,3.92,69.12,7,13.0,nan,３/４車身,nan
