race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",1,藤井 將  広,島,30,113,A1,両,3.92,87.02,1,12.0,捲,nan,nan
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",2,白石 大輔  福,島,41,88,A2,両,3.92,84.10,2,11.5,差,１/２車身,nan
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",3,山崎 敦雄  静,岡,51,70,A1,追,3.85,85.28,4,12.1,nan,１/４車輪,nan
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",4,山本 貴章  岡,山,50,76,A2,追,3.92,81.42,7,12.4,nan,５車身,nan
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",5,梅田 加津也,神奈川,30,119,A2,逃,3.92,84.61,5,12.4,nan,３/４車身,nan
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",6,藤野 貴章  佐,賀,36,97,A2,追,3.92,78.91,3,11.7,nan,１/２車身,nan
1220240830030001,aomori,2024-08-30,1,◎1 ○4 注2 ▲7 ×5 △3,"1-2  1,430円(6)","1-2-6  11,290円(43)",7,鎌田 聡  宮,城,46,81,A2,追,3.92,84.80,6,11.6,nan,１/８車輪,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",1,森田 康嗣,北海道,42,89,A1,両,3.92,85.52,5,11.8,nan,１/２車輪,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",2,市村 昌樹  兵,庫,33,103,A2,両,3.92,86.56,1,12.3,逃,nan,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",3,宮内 善光  群,馬,43,88,A2,追,3.92,85.71,2,11.7,差,３/４車身,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",4,平川 雅晃  長,野,33,107,A2,逃,3.92,83.92,6,12.0,nan,１車身１/２,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",5,高谷 雅彦  青,森,53,67,A1,両,3.92,82.66,7,11.9,nan,３車身,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",6,坂田 学  兵,庫,48,83,A2,両,3.85,79.35,4,12.2,nan,１/４車輪,nan
1220240830030002,aomori,2024-08-30,2,◎1 ○5 △2 ▲6 注7 ×4,"2-3  1,200円(6)","2-3-7  25,360円(79)",7,白井 一機  愛,知,54,65,A2,追,3.92,81.80,3,12.0,nan,３/４車輪,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",1,仲野 結音  大,阪,24,117,A1,逃,3.92,100.58,3,11.4,nan,１車身,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",2,長谷川 飛向  東,京,28,121,A1,逃,3.92,92.38,1,11.6,逃,nan,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",3,日野 博幸  愛,媛,40,103,A1,逃,3.92,90.32,6,11.8,nan,１車身,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",4,野口 正則  奈,良,34,105,A1,両,3.92,89.44,4,11.4,nan,３/４車身,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",5,土井 勲  岡,山,50,82,A1,追,3.92,84.71,5,11.5,nan,２車身,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",6,山田 純也  岐,阜,35,99,A2,両,3.93,80.76,7,11.4,nan,２車身,nan
1220240830030003,aomori,2024-08-30,3,◎1 ○4 ×2 注7 △3 ▲5,"2-7  1,720円(6)","2-7-1  4,280円(13)",7,戸邉 捺希  埼,玉,26,117,A1,逃,3.92,85.92,2,11.5,ク,３/４車輪,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",1,浮島 知稀  群,馬,24,123,A1,逃,3.92,94.53,4,12.0,nan,１車輪,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",2,立花 昌也  青,森,25,123,A2,逃,3.92,90.41,7,12.6,nan,６車身,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",3,山田 祥明  岐,阜,44,97,A1,追,3.92,89.40,3,11.7,nan,３/４車輪,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",4,藤井 準也  岐,阜,30,105,A1,両,3.92,87.15,2,11.7,ク,１/８車輪,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",5,増田 利明  静,岡,45,81,A1,両,3.92,85.17,6,11.5,nan,１/２車身,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",6,山川 奨太  熊,本,27,117,A2,逃,3.92,84.23,5,11.9,nan,１/２車身,nan
1220240830030004,aomori,2024-08-30,4,◎1 ○7 ×2 △4 注3 ▲5,"7-4  3,630円(9)","7-4-3  23,930円(61)",7,城 幸弘  山,梨,38,96,A1,両,3.92,92.37,1,11.8,差,nan,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",1,山口 優依  愛,知,29,124,L1,両,3.79,48.58,4,13.3,nan,１/４車輪,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",2,豊岡 英子  大,阪,44,114,L1,両,3.79,52.36,1,12.8,捲,nan,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",3,田中 千尋  愛,知,26,114,L1,両,3.77,47.73,6,13.0,nan,４車身,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",4,大和 久保美  青,森,33,102,L1,両,3.79,45.00,3,12.7,nan,１/２車身,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",5,高木 香帆  岩,手,23,120,L1,両,3.77,49.68,2,12.7,ク,３/４車身,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",6,山本 奈知  千,葉,38,106,L1,両,3.71,44.33,7,13.1,nan,１車身１/２,nan
1220240830030005,aomori,2024-08-30,5,◎2 ×1 △6 注7 ○3 ▲5,2-5  560円(2),"2-5-4  11,900円(31)",7,吉村 美有紀  静,岡,22,124,L1,両,3.77,47.96,5,13.1,nan,１/４車輪,nan
1220240830030006,aomori,2024-08-30,6,◎4 ○1 ▲6 △3 ×2 注5,4-1  500円(1),4-1-2  840円(1),1,大野 悟郎  大,分,44,83,S2,追,3.83,99.84,2,11.2,ク,１/４車輪,nan
1220240830030006,aomori,2024-08-30,6,◎4 ○1 ▲6 △3 ×2 注5,4-1  500円(1),4-1-2  840円(1),2,高橋 広大  埼,玉,37,99,S2,追,3.92,102.69,3,11.8,nan,３/４車身,nan
1220240830030006,aomori,2024-08-30,6,◎4 ○1 ▲6 △3 ×2 注5,4-1  500円(1),4-1-2  840円(1),3,吉田 茂生  岐,阜,34,98,S2,両,3.92,95.67,6,12.2,nan,１/２車身,nan
1220240830030006,aomori,2024-08-30,6,◎4 ○1 ▲6 △3 ×2 注5,4-1  500円(1),4-1-2  840円(1),4,市橋 司優人  福,岡,32,103,S2,両,3.85,102.00,1,11.4,捲,nan,nan
1220240830030006,aomori,2024-08-30,6,◎4 ○1 ▲6 △3 ×2 注5,4-1  500円(1),4-1-2  840円(1),5,長井 妙樹  東,京,35,96,S2,追,3.92,98.57,4,11.7,nan,３/４車輪,nan
1220240830030006,aomori,2024-08-30,6,◎4 ○1 ▲6 △3 ×2 注5,4-1  500円(1),4-1-2  840円(1),6,春日 勇人  千,葉,48,82,S2,追,3.92,93.28,5,11.7,nan,１車身１/２,nan
1220240830030007,aomori,2024-08-30,7,×1 注7 ▲4 ○6 ◎2 △3,2-3  240円(1),2-3-5  430円(2),1,吉田 智哉  愛,媛,26,111,S2,逃,3.92,101.84,6,12.2,nan,２車身,nan
1220240830030007,aomori,2024-08-30,7,×1 注7 ▲4 ○6 ◎2 △3,2-3  240円(1),2-3-5  430円(2),2,吉田 有希  茨,城,22,119,S1,逃,3.92,107.13,1,11.7,逃,nan,nan
1220240830030007,aomori,2024-08-30,7,×1 注7 ▲4 ○6 ◎2 △3,2-3  240円(1),2-3-5  430円(2),3,新田 康仁  静,岡,50,74,S1,両,3.93 3.92,108.35,2,11.6,ク,１/８車輪,nan
