race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1220230730030001,aomori,2023-07-30,1,◎3 ○5 △2 ×1 注4 ▲6,5-3  450円(2),5-3-2  710円(2),2=3=5  230円(1),1,赤石 聡  群,馬,50,69,A3,追,3.86,72.20,4,12.2,nan,１/２車身,nan
1220230730030001,aomori,2023-07-30,1,◎3 ○5 △2 ×1 注4 ▲6,5-3  450円(2),5-3-2  710円(2),2=3=5  230円(1),2,長谷 俊昭  岡,山,57,56,A3,追,3.92,75.22,3,11.7,nan,３/４車身,nan
1220230730030001,aomori,2023-07-30,1,◎3 ○5 △2 ×1 注4 ▲6,5-3  450円(2),5-3-2  710円(2),2=3=5  230円(1),3,富永 昌久  佐,賀,42,88,A3,追,3.92,70.50,2,12.0,捲,３/４車身,nan
1220230730030001,aomori,2023-07-30,1,◎3 ○5 △2 ×1 注4 ▲6,5-3  450円(2),5-3-2  710円(2),2=3=5  230円(1),4,久保田 敦  群,馬,49,76,A3,追,3.79,66.03,6,12.5,nan,５車身,nan
1220230730030001,aomori,2023-07-30,1,◎3 ○5 △2 ×1 注4 ▲6,5-3  450円(2),5-3-2  710円(2),2=3=5  230円(1),5,中塚 記生  熊,本,53,63,A3,追,3.85,67.59,1,11.8,差,nan,nan
1220230730030001,aomori,2023-07-30,1,◎3 ○5 △2 ×1 注4 ▲6,5-3  450円(2),5-3-2  710円(2),2=3=5  230円(1),6,芦川 大雄  静,岡,42,87,A3,追,3.92,65.33,5,12.1,nan,３/４車身,nan
1220230730030002,aomori,2023-07-30,2,△1 ◎4 ○3 ▲2 注6 ×5,"4-6  1,620円(6)","4-6-5  4,500円(15)",4=5=6  920円(4),1,木村 元信  青,森,44,81,A3,追,3.92,67.16,5,12.8,nan,１/４車輪,nan
1220230730030002,aomori,2023-07-30,2,△1 ◎4 ○3 ▲2 注6 ×5,"4-6  1,620円(6)","4-6-5  4,500円(15)",4=5=6  920円(4),2,平坂 典也  広,島,54,61,A3,追,3.92,66.42,4,12.4,nan,１/２車身,nan
1220230730030002,aomori,2023-07-30,2,△1 ◎4 ○3 ▲2 注6 ×5,"4-6  1,620円(6)","4-6-5  4,500円(15)",4=5=6  920円(4),3,林 邦彦  千,葉,49,73,A3,追,3.92,71.40,6,12.5,nan,１/８車輪,nan
1220230730030002,aomori,2023-07-30,2,△1 ◎4 ○3 ▲2 注6 ×5,"4-6  1,620円(6)","4-6-5  4,500円(15)",4=5=6  920円(4),4,須々田 大昇  青,森,50,80,A3,追,3.92,71.00,1,12.5,差,nan,nan
