race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1320221130020001,iwakitaira,2022-11-30,1,○5 ◎1 △4 ×3 注2 ▲6,5-1  530円(2),"5-1-3  2,450円(7)",1,山田 哲也  愛,知,40,99,A2,両,3.92,85.53,2,12.1,ク,１/４車輪,絶好差せず
1320221130020001,iwakitaira,2022-11-30,1,○5 ◎1 △4 ×3 注2 ▲6,5-1  530円(2),"5-1-3  2,450円(7)",2,石井 孝  千,葉,51,68,A2,追,3.85,81.87,5,12.4,nan,７車身,競合割込れ
1320221130020001,iwakitaira,2022-11-30,1,○5 ◎1 △4 ×3 注2 ▲6,5-1  530円(2),"5-1-3  2,450円(7)",3,渡邉 正人  福,島,31,100,A2,逃,3.92,79.38,3,11.9,nan,１車身,叩かれ急追
1320221130020001,iwakitaira,2022-11-30,1,○5 ◎1 △4 ×3 注2 ▲6,5-1  530円(2),"5-1-3  2,450円(7)",4,池上 孝之  兵,庫,51,69,A2,追,3.93,80.09,4,11.9,nan,３/４車身,本線も離れ
1320221130020001,iwakitaira,2022-11-30,1,○5 ◎1 △4 ×3 注2 ▲6,5-1  530円(2),"5-1-3  2,450円(7)",5,勝谷 勝治  三,重,32,115,A2,逃,3.92,82.58,1,12.3,逃,nan,ＨＳカマシ
1320221130020001,iwakitaira,2022-11-30,1,○5 ◎1 △4 ×3 注2 ▲6,5-1  530円(2),"5-1-3  2,450円(7)",6,廣川 貞治  東,京,54,61,A2,追,3.93,77.80,6,12.7,nan,５車身,競負け後退
1320221130020002,iwakitaira,2022-11-30,2,×1 △4 ▲3 ○5 ◎2 注6,"2-6  1,020円(3)","2-6-5  2,320円(6)",1,門馬 琢麿,北海道,38,105,A2,逃,3.86,80.79,5,12.0,nan,１/２車身,後方動けず
1320221130020002,iwakitaira,2022-11-30,2,×1 △4 ▲3 ○5 ◎2 注6,"2-6  1,020円(3)","2-6-5  2,320円(6)",2,若林 耕司  群,馬,42,87,A2,追,3.92,83.10,1,12.2,差,nan,番手楽差し
1320221130020002,iwakitaira,2022-11-30,2,×1 △4 ▲3 ○5 ◎2 注6,"2-6  1,020円(3)","2-6-5  2,320円(6)",3,柳原 司  大,阪,37,98,A2,両,3.92,81.11,4,12.1,nan,１車身,先手追走し
1320221130020002,iwakitaira,2022-11-30,2,×1 △4 ▲3 ○5 ◎2 注6,"2-6  1,020円(3)","2-6-5  2,320円(6)",4,鶴岡 與之  千,葉,45,81,A2,追,3.92,83.00,6,11.9,nan,１/２車身,目標と一緒
1320221130020002,iwakitaira,2022-11-30,2,×1 △4 ▲3 ○5 ◎2 注6,"2-6  1,020円(3)","2-6-5  2,320円(6)",5,楠野 史尭  埼,玉,34,105,A1,逃,3.92,84.00,3,12.4,nan,３/４車輪,正攻法逃げ
1320221130020002,iwakitaira,2022-11-30,2,×1 △4 ▲3 ○5 ◎2 注6,"2-6  1,020円(3)","2-6-5  2,320円(6)",6,土屋 宏  群,馬,45,83,A2,追,3.93,79.12,2,12.2,ク,３/４車輪,３番手続き
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",1,三宅 裕武  三,重,41,88,A1,追,3.92,92.61,1,12.4,差,nan,外振り交し
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",2,柴田 竜史  静,岡,34,96,A1,追,3.92,88.51,7,12.5,nan,２車身,追上げ阻れ
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",3,野木 義規,北海道,49,72,A1,追,3.92,86.14,6,12.5,nan,３/４車輪,絡れ伸欠き
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",4,小田倉 勇二  埼,玉,38,91,A1,両,3.92,86.00,5,12.5,nan,３/４車身,単騎捲進ず
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",5,泉谷 元樹  愛,知,34,101,A1,逃,3.92,87.83,3,12.7,nan,１/２車身,Ｈ叩き先行
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",6,相笠 翔太  福,島,32,96,A1,両,3.92,85.44,2,12.4,ク,１/２車輪,叩れ３番手
1320221130020003,iwakitaira,2022-11-30,3,○5 ◎1 ×2 注7 △4 ▲6,"1-6  1,160円(5)","1-6-5  3,820円(11)",7,深澤 伸介  静,岡,46,76,A1,追,3.92,86.61,4,12.4,nan,３/４車身,前捌れ切替
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",1,大畑 裕貴  埼,玉,38,92,A2,両,3.92,86.62,6,13.0,nan,３車身,叩かれ一杯
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",2,佐藤 雅春  宮,城,35,94,A1,両,3.92,92.83,3,12.7,nan,１/４車輪,番手差せず
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",3,花田 将司  千,葉,36,99,A1,両,3.92,88.38,5,12.8,nan,２車身,捲り阻まれ
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",4,邊見 光輝  福,島,20,119,A2,逃,3.92,88.28,2,12.9,逃,３/４車輪,鐘叩き逃残
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",5,丸山 直樹  埼,玉,37,93,A1,両,3.92,89.91,1,12.4,差,nan,中割り強襲
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",6,吉川 悟  大,阪,46,79,A2,追,3.93,80.80,7,12.8,nan,３車身,３番手離れ
1320221130020004,iwakitaira,2022-11-30,4,▲1 ×5 △3 注7 ○4 ◎2,"5-4  7,470円(21)","5-4-2  19,950円(56)",7,三ッ井 武,神奈川,37,96,A1,追,3.93,88.33,4,12.5,nan,微差,目標捲れず
1320221130020005,iwakitaira,2022-11-30,5,◎4 ○5 ▲1 ×6 注2 △7,"4-2  1,510円(4)","4-2-3  7,230円(15)",1,榊枝 輝文  福,島,46,79,A1,追,3.86,86.57,5,12.0,nan,２車身,前が続けず
1320221130020005,iwakitaira,2022-11-30,5,◎4 ○5 ▲1 ×6 注2 △7,"4-2  1,510円(4)","4-2-3  7,230円(15)",2,飯尾 主税  静,岡,43,81,A1,追,3.92,90.18,2,12.0,捲,３車身,番手捲遅く
1320221130020005,iwakitaira,2022-11-30,5,◎4 ○5 ▲1 ×6 注2 △7,"4-2  1,510円(4)","4-2-3  7,230円(15)",3,竹内 一暢  滋,賀,45,84,A1,追,3.92,89.00,3,12.0,nan,１/２車身,俊敏に切替
1320221130020005,iwakitaira,2022-11-30,5,◎4 ○5 ▲1 ×6 注2 △7,"4-2  1,510円(4)","4-2-3  7,230円(15)",4,前川 大輔  福,島,32,113,A1,逃,3.92,91.44,1,11.8,捲,nan,２角快捲り
1320221130020005,iwakitaira,2022-11-30,5,◎4 ○5 ▲1 ×6 注2 △7,"4-2  1,510円(4)","4-2-3  7,230円(15)",5,山崎 司  福,島,38,95,A2,追,3.92,86.82,4,12.1,nan,１車身１/２,追走阻まれ
1320221130020005,iwakitaira,2022-11-30,5,◎4 ○5 ▲1 ×6 注2 △7,"4-2  1,510円(4)","4-2-3  7,230円(15)",6,伊藤 翼,神奈川,36,94,A2,両,3.92,81.29,7,14.9,nan,大差,腹括り先行
