race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),1,坂本 拓也  福,島,36,111,A2,逃,3.92,82.90,3,11.6,nan,３/４車身,３番手飛付
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),2,篠崎 高志  栃,木,49,72,A2,追,3.92,83.45,6,11.6,nan,３/４車身,薮下任せで
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),3,遠藤 勝弥  静,岡,32,109,A1,逃,3.93,85.53,2,11.7,捲,１/４車輪,荒木気遣う
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),4,佐藤 和典,神奈川,50,70,A1,追,3.93,84.81,5,11.8,nan,１車身１/２,坂本弾かれ
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),5,薮田 貴幸  茨,城,35,94,A2,追,3.92,83.43,4,11.4,nan,１/２車輪,単純乗換え
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),6,齋藤 和也  福,島,47,78,A2,追,3.92,82.00,7,11.7,nan,１/２車輪,内締め伸欠
2720220401010001,keiokaku,2022-04-01,1,×1 △6 注5 ◎2 ○3 ▲7,7-3  200円(1),"7-3-1  1,230円(4)",1=3=7  670円(3),7,荒木 伸哉  静,岡,42,87,A1,追,3.92,88.00,1,11.6,差,nan,無風で差す
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",1,安達 隆己  栃,木,25,117,A2,逃,3.92,83.91,6,12.3,nan,１車身,先行捲られ
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",2,木本 賢二  大,阪,49,69,A1,追,3.86,83.66,1,11.6,差,nan,中割り強襲
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",3,田中 孝彦  静,岡,35,91,A1,追,3.92,89.19,3,12.0,nan,１/２車輪,先捲り打つ
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",4,奥出 良  石,川,28,109,A1,逃,3.92,87.50,4,11.8,nan,１車輪,併され浮く
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",5,飯島 淳  東,京,45,78,A2,追,3.92,81.46,5,12.1,nan,２車身,目標捲られ
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",6,長岡 豪  群,馬,38,91,A2,追,3.92,81.00,7,12.3,nan,２車身,ライン一緒
2720220401010002,keiokaku,2022-04-01,2,△1 注5 ◎6 ○4 ×2 ▲3,"2-7  22,580円(31)","2-7-3  79,780円(113)","2=3=7  4,560円(13)",7,海野 敦男  静,岡,50,69,A2,追,3.92,81.38,2,11.8,差,タイヤ差,捲り差すが
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",1,吉竹 雄城  千,葉,32,99,A2,逃,3.92,80.25,2,11.9,差,３/４車身,内下り直伸
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",2,福田 滉  栃,木,22,115,A1,逃,3.92,87.80,1,12.0,差,nan,番手入り鋭
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",3,小西 芳樹  大,阪,51,66,A2,追,3.92,83.71,7,13.4,nan,８車身,遅れ入られ
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",4,林 敬宏  愛,知,30,117,A2,逃,3.92,89.61,3,12.3,nan,１/２車身,ペース乱し
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",5,佐藤 学  栃,木,34,93,A1,追,3.92,85.47,6,12.6,nan,３車身,絡まれ遅れ
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",6,久保 将史,神奈川,37,95,A2,両,3.93,78.68,4,12.2,nan,１車身１/２,捲るも浮く
2720220401010003,keiokaku,2022-04-01,3,注6 ×1 △2 ◎5 ○4 ▲3,"2-1  7,140円(13)","2-1-4  25,470円(54)","1=2=4  2,220円(6)",7,樫村 伸平  兵,庫,34,99,A2,追,3.92,82.04,5,12.2,nan,２車身,前が離れて
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),1,柳澤 達也  兵,庫,49,72,A2,追,3.92,81.71,7,12.0,nan,２車身,振られ下げ
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),2,新井 僚太郎  山,梨,30,100,A1,両,3.85,85.26,5,11.8,nan,１/２車輪,正攻法飛付
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),3,岡部 芳幸  福,島,51,66,A1,追,3.92,88.94,2,11.7,ク,１車身,外で踏勝ち
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),4,峠 祐介  埼,玉,46,78,A2,追,3.92,84.41,4,11.5,nan,３/４車身,前が捌きで
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),5,田口 勇介  秋,田,21,119,A2,逃,3.92,92.66,1,11.7,逃,nan,番手競らせ
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),6,外山 三平  愛,知,43,88,A2,追,3.93,79.16,6,11.7,nan,３車身,単騎で苦戦
2720220401010004,keiokaku,2022-04-01,4,◎5 ○3 △1 ×6 注2 ▲7,5-3  140円(1),5-3-7  790円(3),3=5=7  550円(3),7,大橋 徹  栃,木,49,72,A2,追,3.92,85.33,3,11.6,nan,３/４車身,柳沢を弾き
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),1,宮下 貴之  埼,玉,47,81,A1,追,3.93,92.45,2,11.6,ク,２車身,前懸命追う
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),2,渡邊 健  愛,知,48,76,A1,追,3.93,91.05,5,12.0,nan,１/４車輪,目標捲られ
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),3,高木 翔  岩,手,28,105,A1,両,3.92,90.47,6,11.9,nan,３/４車身,宮下踏負け
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),4,佐藤 清之  千,葉,39,93,A1,追,3.92,92.13,3,11.6,nan,１車身１/２,立直し捲上
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),5,中村 敏之輔,北海道,36,91,A1,追,3.92,92.47,7,11.9,nan,１/２車身,前が捌けず
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),6,丹波 孝佑  大,阪,33,98,A1,逃,3.92,90.06,4,12.1,nan,１車身１/２,小原捲られ
2720220401010005,keiokaku,2022-04-01,5,◎7 ○1 ×4 ▲6 注2 △3,7-1  470円(2),7-1-4  830円(2),1=4=7  260円(1),7,小原 唯志  茨,城,38,101,A1,逃,3.92,95.09,1,11.6,捲,nan,３番手捲り
2720220401010006,keiokaku,2022-04-01,6,△1 注4 ×6 ▲2 ○5 ◎7,"2-4  5,330円(16)","2-4-3  31,800円(86)","2=3=4  3,360円(15)",1,村上 直久,神奈川,40,95,S2,逃,3.92,99.40,7,12.3,nan,３車身,荻原併され
2720220401010006,keiokaku,2022-04-01,6,△1 注4 ×6 ▲2 ○5 ◎7,"2-4  5,330円(16)","2-4-3  31,800円(86)","2=3=4  3,360円(15)",2,河野 通孝  茨,城,39,88,S1,追,3.93,105.18,1,12.1,差,nan,絶好抜出す
2720220401010006,keiokaku,2022-04-01,6,△1 注4 ×6 ▲2 ○5 ◎7,"2-4  5,330円(16)","2-4-3  31,800円(86)","2=3=4  3,360円(15)",3,須永 優太  福,島,33,94,S2,追,3.92,104.05,3,11.6,nan,１/４車輪,外すも直伸
