race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",1,山崎 航  山,口,29,119,A2,逃,3.92,91.09,1,12.5,捲,nan,nan
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",2,興呂木 雄治  熊,本,34,96,A2,両,3.92,83.96,6,12.6,nan,３/４車輪,nan
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",3,山信田 学  埼,玉,47,83,A1,追,3.92,86.90,5,12.5,nan,３/４車輪,nan
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",4,坂田 章  高,知,38,93,A1,追,3.92,86.37,4,12.5,nan,１/４車輪,nan
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",5,舟山 佑京  新,潟,26,113,A2,逃,3.92,85.11,7,13.8,nan,大差,nan
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",6,吉成 晃一  熊,本,38,92,A2,追,3.92,81.70,3,12.5,nan,１車身,nan
1220240601010001,aomori,2024-06-01,1,◎1 ○7 注4 ▲2 △6 ×5,1-7  150円(1),"1-7-6  5,530円(14)",7,林 明宏  高,知,47,79,A1,追,3.85,88.60,2,12.5,ク,１/２車身,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),1,山田 祐太  福,島,35,113,A2,逃,3.92,83.12,7,13.6,nan,９車身,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),2,大矢 将大  埼,玉,45,81,A1,追,3.92,88.76,2,11.8,ク,３/４車身,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),3,久保 光司  佐,賀,27,119,A2,逃,3.92,85.22,4,12.6,nan,１/２車身,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),4,小野 俊之  大,分,48,77,A1,追,3.92,80.83,5,12.4,nan,１/２車身,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),5,根藤 浩二  千,葉,37,95,A2,両,3.93,88.33,1,11.8,捲,nan,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),6,小泉 俊也  岩,手,48,77,A1,両,3.92,79.00,6,12.5,nan,２車身,nan
1220240601010002,aomori,2024-06-01,2,注1 ▲6 ○5 ◎2 ×3 △7,5-2  170円(1),5-2-7  560円(1),7,安東 英博  大,分,43,87,A2,追,3.92,83.04,3,12.4,nan,７車身,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",1,上野 恭哉  福,岡,26,119,A2,逃,3.92,90.66,2,12.3,差,１/８車輪,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",2,高嶋 一朗  岡,山,56,62,A2,追,3.92,82.22,7,12.8,nan,７車身,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",3,及川 裕奨  岩,手,42,86,A2,両,3.92,81.61,3,12.5,nan,３/４車輪,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",4,高比良 豪  福,岡,44,84,A1,両,3.92,87.62,4,12.2,nan,１/８車輪,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",5,齋藤 一茂  群,馬,35,97,A2,逃,3.92,86.70,1,12.6,逃,nan,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",6,田口 守  山,口,36,94,A2,両,3.92,81.33,6,12.1,nan,２車身,nan
1220240601010003,aomori,2024-06-01,3,◎1 ○4 ▲7 注2 ×5 △3,"5-1  2,110円(5)","5-1-3  5,880円(17)",7,杉山 剛  福,岡,47,86,A2,両,3.92,81.55,5,12.0,nan,１/２車輪,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",1,高本 和也,神奈川,27,121,A2,逃,3.92,87.77,2,12.0,逃,１/４車輪,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",2,横田 政直  群,馬,37,103,A2,逃,3.92,80.50,4,11.8,nan,１車身１/２,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",3,利根 正明  大,分,34,97,A1,両,3.92,89.00,3,11.6,nan,１/２車輪,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",4,丹波 靖貴  岡,山,49,74,A1,追,3.85,86.59,5,11.5,nan,１/２車身,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",5,武田 良太  愛,媛,42,88,A2,追,3.92,82.33,6,11.6,nan,３車身,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",6,川村 昭弘  新,潟,49,81,A2,追,3.92,80.23,7,12.7,nan,８車身,nan
1220240601010004,aomori,2024-06-01,4,◎3 ○4 注5 ×1 △7 ▲2,"7-1  1,230円(5)","7-1-3  3,430円(11)",7,白石 大輔  福,島,41,88,A2,追,3.92,83.89,1,11.8,差,nan,nan
1220240601010005,aomori,2024-06-01,5,◎2 ○5 注6 ×1 △3 ▲7,2-5  160円(1),2-5-6  560円(1),1,黒田 大介  愛,媛,50,77,A2,追,3.92,82.62,7,12.1,nan,１車身,nan
1220240601010005,aomori,2024-06-01,5,◎2 ○5 注6 ×1 △3 ▲7,2-5  160円(1),2-5-6  560円(1),2,荒川 達郎  埼,玉,24,123,A2,逃,3.85,81.94,1,11.3,捲,nan,nan
1220240601010005,aomori,2024-06-01,5,◎2 ○5 注6 ×1 △3 ▲7,2-5  160円(1),2-5-6  560円(1),3,浅見 隼  福,岡,27,115,A1,逃,3.85,87.92,5,12.4,nan,１車輪,nan
