race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),1,米倉 剛志  千,葉,42,89,A3,逃,3.85,68.21,4,12.1,nan,１/２車身,掬い三番手
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),2,長岡 豪  群,馬,42,91,A3,追,3.92,69.40,7,11.9,nan,１車身１/２,混戦こぼれ
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),3,中川 博文  福,井,57,61,A3,追,3.86,69.80,3,12.0,nan,１車身１/２,外し差返す
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),4,山本 淳,神奈川,49,94,A3,両,3.92,73.00,5,11.9,nan,３/４車身,目標はぐれ
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),5,西森 一稀  兵,庫,20,127,A3,逃,3.92,77.13,1,12.1,逃,nan,ペース駆け
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),6,菅藤 智  群,馬,41,95,A3,追,3.92,68.00,6,11.8,nan,３/４車身,結局最後方
2120250801010001,yahiko,2025-08-01,1,◎5 ○7 ▲3 注1 ×4 △2,5-7  130円(1),5-7-3  260円(1),7,白崎 芳典  福,井,48,86,A3,追,3.92,74.90,2,12.1,ク,３/４車身,番手ぴたり
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",1,藤本 龍也  長,野,41,98,A3,両,3.92,70.38,1,12.4,差,nan,嵌り差返す
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",2,鈴木 愼二,神奈川,51,74,A3,追,3.92,78.46,5,12.1,nan,３/４車身,マーク外す
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",3,嶋貫 高大  宮,城,43,91,A3,追,3.92,70.52,7,12.2,nan,１車身１/２,前一緒後方
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",4,天沼 雅貴  埼,玉,41,96,A3,追,3.92,77.88,3,12.4,nan,１/４車輪,藤本龍任せ
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",5,渡邊 颯太  静,岡,30,109,A3,逃,3.92,77.59,4,12.7,nan,１/２車輪,捲切るも裸
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",6,菊池 崇訓  栃,木,48,85,A3,追,3.92,66.34,2,12.3,差,３/４車身,前一車抜く
2120250801010002,yahiko,2025-08-01,2,注1 ×4 ▲6 ◎5 ○2 △3,"1-6  26,810円(25)","1-6-4  60,210円(83)",7,岡田 哲夫  福,島,42,92,A3,追,3.92,68.04,6,12.3,nan,１/２車輪,位置なくて
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),1,花村 直人  三,重,55,71,A3,両,3.92,69.31,5,12.2,nan,３/４車身,先制四番手
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),2,三澤 優樹  福,島,25,127,A3,逃,3.92,77.93,1,12.3,逃,nan,突張り先行
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),3,田中 智也  静,岡,52,74,A3,追,3.92,68.94,6,12.0,nan,３/４車身,小林寛不発
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),4,齊藤 紳一朗  青,森,48,82,A3,追,3.79,73.95,2,12.2,ク,１/２車身,本線の番手
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),5,小林 寛弥  静,岡,37,101,A3,逃,3.85,67.40,7,13.8,nan,大差,カマシ不発
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),6,柴田 昌樹  愛,知,49,79,A3,追,3.92,67.18,4,11.9,nan,１車身,五番手外を
2120250801010003,yahiko,2025-08-01,3,◎2 ○4 ×7 △1 ▲6 注5,2-4  120円(1),2-4-7  150円(1),7,深井 高志  東,京,56,63,A3,追,3.92,76.19,3,12.1,nan,３/４車身,本線三番手
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),1,吉田 夢希斗  埼,玉,20,127,A3,逃,3.85,71.46,6,11.7,nan,１車身,先行捲られ
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),2,相澤 恵一  宮,城,38,95,A3,追,3.92,71.43,4,11.5,nan,３/４車身,三番手一杯
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),3,岩辺 陸  静,岡,21,127,A3,逃,3.85,77.80,1,11.5,捲,nan,カマシ捲り
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),4,小島 雅章  埼,玉,49,83,A3,追,3.92,78.07,3,11.3,nan,１車輪,前不発も鋭
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),5,木下 章  長,野,57,61,A3,両,3.79,69.75,5,11.3,nan,３/４車身,不発ライン
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),6,菅原 洋輔  岩,手,44,98,A3,両,3.92,67.00,7,11.5,nan,３/４車身,中団確保も
2120250801010004,yahiko,2025-08-01,4,○1 △4 ▲5 ◎3 ×7 注2,3-7  180円(1),3-7-4  630円(3),7,佐藤 有輝,神奈川,46,85,A3,追,3.92,74.81,2,11.5,ク,１車身,本線の番手
2120250801010005,yahiko,2025-08-01,5,注4 ◎2 △3 ○1 ×7 ▲5,"7-2  2,490円(5)","7-2-3  5,220円(13)",1,高橋 美沙紀  愛,知,34,124,L1,両,3.77,50.70,4,12.0,nan,１/２車身,増田夕追走
