race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose,wide
2220220130030001,maebashi,2022-01-30,1,◎1 ○4 注5 ×2 △3,1-4  290円(1),"1-4-3  1,260円(3)",1=3=4  610円(4),1,木下 章  長,野,53,61,A3,両,3.86,78.07,1,10.0,捲,,,1=3  240円(4)  1=4  150円(2)  3=4  390円(7) / 1=3  240円(4)  1=4  150円(2)  3=4  390円(7)
2220220130030001,maebashi,2022-01-30,1,◎1 ○4 注5 ×2 △3,1-4  290円(1),"1-4-3  1,260円(3)",1=3=4  610円(4),2,三上 隆幸  青,森,44,85,A3,追,3.93,71.48,4,10.5,,２車身,,1=3  240円(4)  1=4  150円(2)  3=4  390円(7) / 1=3  240円(4)  1=4  150円(2)  3=4  390円(7)
2220220130030001,maebashi,2022-01-30,1,◎1 ○4 注5 ×2 △3,1-4  290円(1),"1-4-3  1,260円(3)",1=3=4  610円(4),3,梶山 大輔,神奈川,47,76,A3,追,3.85,71.09,3,9.9,,１車身,,1=3  240円(4)  1=4  150円(2)  3=4  390円(7) / 1=3  240円(4)  1=4  150円(2)  3=4  390円(7)
2220220130030001,maebashi,2022-01-30,1,◎1 ○4 注5 ×2 △3,1-4  290円(1),"1-4-3  1,260円(3)",1=3=4  610円(4),4,内海 雅夫  群,馬,43,83,A3,追,3.85,68.57,2,9.9,ク,３/４車輪,,1=3  240円(4)  1=4  150円(2)  3=4  390円(7) / 1=3  240円(4)  1=4  150円(2)  3=4  390円(7)
2220220130030001,maebashi,2022-01-30,1,◎1 ○4 注5 ×2 △3,1-4  290円(1),"1-4-3  1,260円(3)",1=3=4  610円(4),5,栗田 弘一  群,馬,54,60,A3,追,3.92,66.45,5,9.8,,１車身１/２,,1=3  240円(4)  1=4  150円(2)  3=4  390円(7) / 1=3  240円(4)  1=4  150円(2)  3=4  390円(7)
2220220130030002,maebashi,2022-01-30,2,×2 △1 ▲6 ◎3 ○4 注5,3-4  270円(1),"3-4-1  1,270円(3)",1=3=4  650円(4),1,富澤 洋祐  静,岡,46,81,A3,追,3.92,80.16,3,10.0,,１車身,,1=3  280円(7)  1=4  240円(5)  3=4  120円(1) / 1=3  280円(7)  1=4  240円(5)  3=4  120円(1)
2220220130030002,maebashi,2022-01-30,2,×2 △1 ▲6 ◎3 ○4 注5,3-4  270円(1),"3-4-1  1,270円(3)",1=3=4  650円(4),2,小林 大能  千,葉,42,87,A3,追,3.92,74.2,6,10.3,,１/４車輪,,1=3  280円(7)  1=4  240円(5)  3=4  120円(1) / 1=3  280円(7)  1=4  240円(5)  3=4  120円(1)
2220220130030002,maebashi,2022-01-30,2,×2 △1 ▲6 ◎3 ○4 注5,3-4  270円(1),"3-4-1  1,270円(3)",1=3=4  650円(4),3,相川 巧  埼,玉,32,98,A3,逃,3.92,73.18,1,10.2,逃,,,1=3  280円(7)  1=4  240円(5)  3=4  120円(1) / 1=3  280円(7)  1=4  240円(5)  3=4  120円(1)
2220220130030002,maebashi,2022-01-30,2,×2 △1 ▲6 ◎3 ○4 注5,3-4  270円(1),"3-4-1  1,270円(3)",1=3=4  650円(4),4,飯島 亮  東,京,49,68,A3,追,3.92,69.26,2,10.2,ク,３/４車身,,1=3  280円(7)  1=4  240円(5)  3=4  120円(1) / 1=3  280円(7)  1=4  240円(5)  3=4  120円(1)
2220220130030002,maebashi,2022-01-30,2,×2 △1 ▲6 ◎3 ○4 注5,3-4  270円(1),"3-4-1  1,270円(3)",1=3=4  650円(4),5,市倉 孝良  東,京,47,77,A3,追,3.92,68.61,4,10.2,,３/４車輪,,1=3  280円(7)  1=4  240円(5)  3=4  120円(1) / 1=3  280円(7)  1=4  240円(5)  3=4  120円(1)
