race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2220250101010001,maebashi,2025-01-01,1,◎1 ○3 ×5 △4 注2,1-5  800円(4),返還,,1,竹山 慶太  宮,城,31,105,A1,逃,3.92,87.20,1,10.5,逃,nan,後ろ競りで
2220250101010001,maebashi,2025-01-01,1,◎1 ○3 ×5 △4 注2,1-5  800円(4),返還,,2,安藤 宜明,神奈川,54,74,A2,追,3.92,80.88,落,nan,nan,nan,乗り上げて
2220250101010001,maebashi,2025-01-01,1,◎1 ○3 ×5 △4 注2,1-5  800円(4),返還,,3,本田 拓也  新,潟,42,92,A2,追,3.92,87.33,落,nan,nan,nan,併走落車し
2220250101010001,maebashi,2025-01-01,1,◎1 ○3 ×5 △4 注2,1-5  800円(4),返還,,4,夏目 新吾  静,岡,36,103,A1,逃,3.92,83.75,失,nan,nan,nan,番手飛付き
2220250101010001,maebashi,2025-01-01,1,◎1 ○3 ×5 △4 注2,1-5  800円(4),返還,,5,三浦 稔希  愛,知,49,76,A1,追,3.92,83.80,2,10.4,ク,１/４車輪,番手へ追上
2220250101010002,maebashi,2025-01-01,2,注1 ×4 ◎3 ○2 △5,3-2  260円(1),3-2-4  580円(1),,1,大中 拓磨  兵,庫,35,111,A2,逃,3.92,69.87,5,10.7,nan,５車身,突張捲られ
2220250101010002,maebashi,2025-01-01,2,注1 ×4 ◎3 ○2 △5,3-2  260円(1),3-2-4  580円(1),,2,榎本 光男  静,岡,47,85,A2,両,3.92,83.03,2,9.6,ク,３車身,何とか続き
2220250101010002,maebashi,2025-01-01,2,注1 ×4 ◎3 ○2 △5,3-2  260円(1),3-2-4  580円(1),,3,坂木田 雄介  千,葉,50,78,A2,逃,3.92,84.00,1,9.4,捲,nan,３番手捲る
2220250101010002,maebashi,2025-01-01,2,注1 ×4 ◎3 ○2 △5,3-2  260円(1),3-2-4  580円(1),,4,一ノ瀬 貴将  大,阪,38,98,A1,両,3.92,87.66,3,10.0,nan,３車身,外振り踏む
2220250101010002,maebashi,2025-01-01,2,注1 ×4 ◎3 ○2 △5,3-2  260円(1),3-2-4  580円(1),,5,安坂 洋一,神奈川,48,79,A2,追,3.92,80.65,4,9.8,nan,１車身１/２,車間空いて
2220250101010003,maebashi,2025-01-01,3,◎2 ○4 注5 ×1 △3 ▲6,2-4  170円(1),"2-4-3  1,600円(4)",,1,疋田 敏  愛,知,57,59,A2,追,3.92,74.11,4,10.0,nan,１/２車身,中突き踏む
2220250101010003,maebashi,2025-01-01,3,◎2 ○4 注5 ×1 △3 ▲6,2-4  170円(1),"2-4-3  1,600円(4)",,2,石田 典大  東,京,27,123,A2,逃,3.92,87.61,1,10.1,逃,nan,２周半先行
2220250101010003,maebashi,2025-01-01,3,◎2 ○4 注5 ×1 △3 ▲6,2-4  170円(1),"2-4-3  1,600円(4)",,3,竹内 優也,北海道,44,89,A2,両,3.83,81.90,3,9.9,nan,１/２車輪,捲り上げて
2220250101010003,maebashi,2025-01-01,3,◎2 ○4 注5 ×1 △3 ▲6,2-4  170円(1),"2-4-3  1,600円(4)",,4,豊田 一馬  群,馬,50,73,A2,追,3.86,84.33,2,10.1,ク,３/４車身,逃げマーク
2220250101010003,maebashi,2025-01-01,3,◎2 ○4 注5 ×1 △3 ▲6,2-4  170円(1),"2-4-3  1,600円(4)",,5,山崎 悟  茨,城,40,92,A1,追,3.92,81.04,5,10.1,nan,１/２車輪,流れ込めず
2220250101010003,maebashi,2025-01-01,3,◎2 ○4 注5 ×1 △3 ▲6,2-4  170円(1),"2-4-3  1,600円(4)",,6,煤賀 隆幸  秋,田,49,75,A2,追,3.92,73.70,6,10.0,nan,２車身,殿尻のまま
2220250101010004,maebashi,2025-01-01,4,◎1 ○3 ▲6 注4 ×5 △2,1-3  150円(1),1-3-5  680円(3),,1,上川 直紀  栃,木,28,117,A1,両,3.92,88.40,1,9.6,捲,nan,４番手捲る
2220250101010004,maebashi,2025-01-01,4,◎1 ○3 ▲6 注4 ×5 △2,1-3  150円(1),1-3-5  680円(3),,2,杉浦 康一,北海道,59,58,A2,追,3.92,80.76,5,10.0,nan,１/２車輪,位置掬われ
2220250101010004,maebashi,2025-01-01,4,◎1 ○3 ▲6 注4 ×5 △2,1-3  150円(1),1-3-5  680円(3),,3,田村 真広  群,馬,50,83,A1,追,3.92,88.19,2,9.7,差,４車身,離れ立直し
2220250101010004,maebashi,2025-01-01,4,◎1 ○3 ▲6 注4 ×5 △2,1-3  150円(1),1-3-5  680円(3),,4,清水 広幸  愛,知,58,57,A2,追,3.92,82.09,6,10.0,nan,１車身１/２,先手ライン
2220250101010004,maebashi,2025-01-01,4,◎1 ○3 ▲6 注4 ×5 △2,1-3  150円(1),1-3-5  680円(3),,5,田原 宥明,北海道,34,105,A2,両,3.92,74.45,3,10.1,nan,１/４車輪,逃がされて
2220250101010004,maebashi,2025-01-01,4,◎1 ○3 ▲6 注4 ×5 △2,1-3  150円(1),1-3-5  680円(3),,6,大澤 裕之  埼,玉,52,71,A2,追,3.92,70.95,4,9.7,nan,３/４車身,懸命追走し
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,1,田頭 寛之  千,葉,36,109,A1,両,3.93,91.70,3,9.9,nan,１/８車輪,仕掛られず
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,2,早坂 秀悟  茨,城,38,90,A1,逃,3.92,91.06,2,10.1,逃,１/２車身,赤板過逃げ
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,3,明田 春喜,北海道,43,89,A1,追,3.92,90.41,1,9.9,差,nan,内掬い伸び
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,4,加藤 寛治  愛,知,46,83,A1,両,3.92,89.70,7,11.3,nan,７車身,位置阻まれ
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,5,出澤 拓也,神奈川,33,111,A1,追,3.93,92.33,4,9.8,nan,１/４車輪,目標と一緒
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,6,成田 健児,神奈川,50,75,A1,追,3.92,89.66,5,9.8,nan,１車身１/２,ライン一緒
2220250101010005,maebashi,2025-01-01,5,×2 ▲4 注1 △5 ◎6 ○7,"3-2  6,900円(17)","3-2-1  90,670円(136)",,7,小原 丈一郎  青,森,26,115,A1,逃,3.92,96.27,6,10.6,nan,４車身,捲り張られ
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,1,保科 千春  宮,城,33,100,S2,追,3.92,101.29,3,9.9,nan,１/２車身,中団入って
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,2,山内 卓也  愛,知,47,77,S2,追,3.92,98.72,1,9.9,差,nan,番手で差す
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,3,磯川 勝裕  東,京,30,113,S2,逃,3.92,94.65,7,10.1,nan,３車身,巻き返せず
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,4,重倉 高史  富,山,39,95,S2,両,3.92,93.43,2,10.2,逃,１車輪,赤板前先行
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,5,福田 滉  栃,木,25,115,S2,追,3.92,102.34,6,9.8,nan,１/８車輪,磯川共倒れ
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,6,伊藤 奎  福,島,26,115,S2,両,3.92,91.88,5,9.9,nan,３/４車輪,４角内突も
2220250101010006,maebashi,2025-01-01,6,×1 ▲6 注4 ○2 ◎3 △5,"2-4  1,960円(9)","2-4-1  7,050円(21)",,7,松永 将  茨,城,44,89,S2,追,3.92,98.71,4,9.6,nan,１/４車輪,不発ライン
2220250101010007,maebashi,2025-01-01,7,△6 ×1 注3 ◎5 ○7 ▲2,"6-2  11,280円(25)","6-2-1  39,000円(78)",,1,森川 大輔  岐,阜,37,92,S2,追,3.92,100.23,3,10.0,nan,３/４車身,掬われ立直
2220250101010007,maebashi,2025-01-01,7,△6 ×1 注3 ◎5 ○7 ▲2,"6-2  11,280円(25)","6-2-1  39,000円(78)",,2,柴田 洋輔  東,京,38,92,S2,追,3.92,103.00,2,10.0,ク,１/４車輪,番手へ切替
2220250101010007,maebashi,2025-01-01,7,△6 ×1 注3 ◎5 ○7 ▲2,"6-2  11,280円(25)","6-2-1  39,000円(78)",,3,中田 雄喜  福,島,37,97,S2,追,3.92,102.03,4,10.1,nan,１車輪,位置守って
