race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose,wide
2220220101010003,maebashi,2022-01-01,3,◎5 ○1 ×3 注7 △6 ▲2,5-1  140円(1),5-1-3  180円(1),1=3=5  130円(1),3,戸邉 裕将  茨,城,50,72,A3,追,3.92,70.09,3,10.2,,３/４車身,ライン続く,1=3  150円(3)  1=5  100円(1)  3=5  140円(2) / 1=3  150円(3)  1=5  100円(1)  3=5  140円(2)
2220220101010003,maebashi,2022-01-01,3,◎5 ○1 ×3 注7 △6 ▲2,5-1  140円(1),5-1-3  180円(1),1=3=5  130円(1),4,岡崎 泰郎,神奈川,43,88,A3,追,3.93,67.16,4,10.2,,３車身,出口に続く,1=3  150円(3)  1=5  100円(1)  3=5  140円(2) / 1=3  150円(3)  1=5  100円(1)  3=5  140円(2)
2220220101010003,maebashi,2022-01-01,3,◎5 ○1 ×3 注7 △6 ▲2,5-1  140円(1),5-1-3  180円(1),1=3=5  130円(1),5,大高 彰馬  福,島,22,119,A3,逃,3.85,76.04,1,10.3,逃,,ＨＳカマシ,1=3  150円(3)  1=5  100円(1)  3=5  140円(2) / 1=3  150円(3)  1=5  100円(1)  3=5  140円(2)
2220220101010003,maebashi,2022-01-01,3,◎5 ○1 ×3 注7 △6 ▲2,5-1  140円(1),5-1-3  180円(1),1=3=5  130円(1),6,高田 隼人  千,葉,40,88,A3,両,3.92,66.95,5,14.2,,大差,叩れ捨られ,1=3  150円(3)  1=5  100円(1)  3=5  140円(2) / 1=3  150円(3)  1=5  100円(1)  3=5  140円(2)
2220220101010003,maebashi,2022-01-01,3,◎5 ○1 ×3 注7 △6 ▲2,5-1  140円(1),5-1-3  180円(1),1=3=5  130円(1),7,佐野 多喜男  新,潟,42,85,A3,追,3.92,69.95,落,,,,ライン続く,1=3  150円(3)  1=5  100円(1)  3=5  140円(2) / 1=3  150円(3)  1=5  100円(1)  3=5  140円(2)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),1,堀江 省吾  長,野,24,119,A3,逃,3.92,78.52,1,11.4,逃,,後位競合い,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),2,渡邉 正人  福,島,30,100,A3,逃,3.85,79.55,3,11.6,,１/２車輪,飛付き競合,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),3,赤石 聡  群,馬,49,69,A3,追,3.79,66.62,5,11.6,,３/４車身,３番手併走,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),4,椿 佳友,北海道,53,64,A3,追,3.92,71.15,4,11.4,,１/４車輪,外弾き迫る,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),5,笹川 竜治  新,潟,49,71,A3,追,3.92,79.95,2,11.5,ク,２車身,死守し流込,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),6,渋江 洋平  栃,木,45,77,A3,追,3.92,66.47,7,11.5,,１/２車身,単騎で苦戦,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010004,maebashi,2022-01-01,4,◎1 ○5 注3 ×6 △2 ▲4,1-5  130円(1),1-5-2  520円(2),1=2=5  310円(2),7,佐藤 隆二,北海道,50,69,A3,追,3.85,68.14,6,11.4,,１/２車輪,飛付ライン,1=2  160円(2)  1=5  100円(1)  2=5  220円(6) / 1=2  160円(2)  1=5  100円(1)  2=5  220円(6)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),1,田中 智也  静,岡,49,74,A3,追,3.92,72.0,3,9.8,,３車身,自然と一杯,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),2,山中 孝一  埼,玉,40,88,A3,両,3.92,67.76,5,9.9,,９車身,金辺と共倒,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),3,中野 慎詞  岩,手,22,121,A3,逃,3.92,0.0,1,9.8,逃,,突張Ｈ加速,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),4,金辺 雄介  東,京,39,97,A3,両,3.85,79.55,6,10.3,,４車身,突っ張られ,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),5,白川 裕也  青,森,43,85,A3,追,3.92,80.33,2,9.8,ク,１車身１/２,中野を巧追,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),6,野崎 修一  栃,木,58,57,A3,追,3.92,66.85,7,10.7,,３/４車輪,早めに切替,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010005,maebashi,2022-01-01,5,◎3 ○5 注1 ▲7 ×4 △2,3-5  170円(1),3-5-1  220円(1),1=3=5  160円(1),7,植田 誠  静,岡,54,61,A3,追,3.92,70.25,4,9.7,,タイヤ差,最後外迫る,1=3  130円(2)  1=5  160円(3)  3=5  100円(1) / 1=3  130円(2)  1=5  160円(3)  3=5  100円(1)
2220220101010006,maebashi,2022-01-01,6,◎1 ○3 ▲6 △5 ×2 注4,"6-4  57,750円(30)","6-4-3  219,830円(114)","3=4=6  9,590円(14)",1,鈴木 雄一朗  東,京,37,94,A1,逃,3.93,87.9,6,10.6,,３車身,捲り張られ,"3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15) / 3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15)"
2220220101010006,maebashi,2022-01-01,6,◎1 ○3 ▲6 △5 ×2 注4,"6-4  57,750円(30)","6-4-3  219,830円(114)","3=4=6  9,590円(14)",2,山崎 敦雄  静,岡,49,70,A1,追,3.85,84.95,5,10.5,,３/４車身,外張り一杯,"3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15) / 3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15)"
2220220101010006,maebashi,2022-01-01,6,◎1 ○3 ▲6 △5 ×2 注4,"6-4  57,750円(30)","6-4-3  219,830円(114)","3=4=6  9,590円(14)",3,根本 雄紀  茨,城,44,80,A1,追,3.92,87.5,3,10.2,,１車身,前不発も伸,"3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15) / 3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15)"
2220220101010006,maebashi,2022-01-01,6,◎1 ○3 ▲6 △5 ×2 注4,"6-4  57,750円(30)","6-4-3  219,830円(114)","3=4=6  9,590円(14)",4,井手 尚治,神奈川,52,65,A2,追,3.92,84.08,2,10.2,差,１車身１/２,内突き伸び,"3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15) / 3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15)"
2220220101010006,maebashi,2022-01-01,6,◎1 ○3 ▲6 △5 ×2 注4,"6-4  57,750円(30)","6-4-3  219,830円(114)","3=4=6  9,590円(14)",5,桜井 大地  静,岡,28,111,A2,逃,3.79,80.8,4,10.5,,１/４車輪,先行内空け,"3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15) / 3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15)"
2220220101010006,maebashi,2022-01-01,6,◎1 ○3 ▲6 △5 ×2 注4,"6-4  57,750円(30)","6-4-3  219,830円(114)","3=4=6  9,590円(14)",6,石川 恭規  福,島,44,93,A2,追,3.92,73.3,1,9.8,差,,３角内突き,"3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15) / 3=4  1,460円(11)  3=6  530円(4)  4=6  3,060円(15)"
2220220101010007,maebashi,2022-01-01,7,◎2 ○7 ▲4 △5 ×1 注3,"2-5  2,630円(9)","2-5-1  9,480円(28)","1=2=5  1,050円(5)",1,鈴木 龍之介  栃,木,43,81,A2,追,3.92,86.33,3,10.2,,１/２車輪,阿久津続き,1=2  290円(4)  1=5  160円(1)  2=5  500円(9) / 1=2  290円(4)  1=5  160円(1)  2=5  500円(9)
