race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",1,中村 美千隆  兵,庫,48,80,A3,両,3.92,74.37,4,12.9,nan,タイヤ差,nan
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",2,青木 亮太  群,馬,41,89,A3,追,3.85,69.33,5,13.3,nan,１/２車輪,nan
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",3,小田 恭介  青,森,25,125,A3,逃,3.92,76.66,3,13.5,nan,１/２車身,nan
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",4,亀井 宏佳  宮,城,52,74,A3,追,3.92,72.37,1,13.3,差,nan,nan
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",5,伊藤 嘉浩  岐,阜,48,79,A3,両,3.92,68.40,7,12.9,nan,１車身１/２,nan
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",6,高森 圭介  栃,木,47,83,A3,追,3.92,66.84,2,13.1,差,１車輪,nan
2120250501010001,yahiko,2025-05-01,1,◎3 ○4 注2 ×6 △1 ▲7,"4-6  29,810円(23)","4-6-3  99,540円(76)",7,山村 慮太  大,阪,38,97,A3,両,3.92,71.09,6,12.9,nan,１/８車輪,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",1,湯浅 大輔  千,葉,39,96,A3,逃,3.92,72.73,7,12.7,nan,１/２車身,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",2,小塚 潤  愛,知,45,86,A3,追,3.92,71.73,5,12.6,nan,３/４車身,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",3,岡田 哲夫  福,島,42,92,A3,追,3.92,67.44,6,12.5,nan,１車身,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",4,石川 英昭  静,岡,53,75,A3,追,3.93,70.88,2,12.3,差,大差,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",5,服部 竜二  愛,知,53,76,A3,追,3.92,70.90,3,12.5,nan,３/４車身,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",6,赤石 聡  群,馬,52,69,A3,追,3.79,65.30,4,12.2,nan,１/４車輪,nan
2120250501010002,yahiko,2025-05-01,2,×1 △4 ◎6 ○7 注2 ▲5,"7-4  1,140円(4)","7-4-5  6,860円(13)",7,岩元 叶馬  富,山,22,125,A3,逃,3.92,77.85,1,11.9,逃,nan,nan
2120250501010003,yahiko,2025-05-01,3,◎3 ○5 ×7 △1 注4 ▲2,3-5  120円(1),3-5-7  160円(1),1,浦山 一栄  東,京,53,72,A3,両,3.93,68.42,6,12.8,nan,７車身,nan
2120250501010003,yahiko,2025-05-01,3,◎3 ○5 ×7 △1 注4 ▲2,3-5  120円(1),3-5-7  160円(1),2,渡辺 福太郎,神奈川,40,103,A3,逃,3.83,67.76,4,11.9,nan,３車身,nan
2120250501010003,yahiko,2025-05-01,3,◎3 ○5 ×7 △1 注4 ▲2,3-5  120円(1),3-5-7  160円(1),3,西岡 利起  奈,良,24,125,A3,逃,3.92,77.85,1,11.9,逃,nan,nan
2120250501010003,yahiko,2025-05-01,3,◎3 ○5 ×7 △1 注4 ▲2,3-5  120円(1),3-5-7  160円(1),4,茂木 和臣  埼,玉,56,63,A3,追,3.92,68.40,7,13.7,nan,大差,nan
2120250501010003,yahiko,2025-05-01,3,◎3 ○5 ×7 △1 注4 ▲2,3-5  120円(1),3-5-7  160円(1),5,岡崎 和久  奈,良,49,78,A3,追,3.92,73.88,2,11.9,ク,３/４車身,nan
2120250501010003,yahiko,2025-05-01,3,◎3 ○5 ×7 △1 注4 ▲2,3-5  120円(1),3-5-7  160円(1),6,小林 大能  千,葉,45,87,A3,追,3.92,67.03,5,12.0,nan,２車身,nan
